Fecha y Hora,Producto,Cantidad,Precio Unitario,Método de Pago
2023-05-25 08:13:38.154363,Espresso,4,10.22,Pago Móvil
2023-05-17 19:26:39.142060,Café Americano,2,2.81,Tarjeta de Crédito
2023-09-11 03:47:55.088328,Jugo de Naranja,1,2.84,Efectivo
2023-03-04 18:50:03.716770,Jugo de Naranja,2,13.43,Tarjeta de Crédito
2023-12-24 05:18:04.922814,Chocolate Caliente,1,6.07,Efectivo
2023-10-01 16:05:26.527151,Mocaccino,3,10.22,Tarjeta de Débito
2023-08-10 21:51:37.622744,Muffin,2,13.37,Pago Móvil
2023-07-17 16:31:50.775897,Galleta,3,12.88,Tarjeta de Crédito
2023-09-23 13:45:53.912384,Capuchino,1,10.59,Tarjeta de Crédito
2023-07-01 11:12:21.885681,Jugo de Naranja,1,5.03,Tarjeta de Crédito
2023-06-04 19:45:45.352324,Té Negro,4,7.91,Efectivo
2023-08-30 18:30:50.709309,Té Negro,3,2.66,Pago Móvil
2023-01-11 16:50:30.269011,Capuchino,2,8.51,Efectivo
2023-03-04 04:27:48.098881,Espresso,3,10.06,Efectivo
2023-11-18 12:23:59.017925,Mocaccino,1,11.75,Tarjeta de Débito
2023-08-17 12:13:45.890283,Brownie,1,6.32,Tarjeta de Débito
2023-01-14 16:04:10.749351,Café Americano,4,12.92,Efectivo
2023-10-04 09:15:12.643508,Té Negro,3,14.39,Pago Móvil
2023-05-02 04:33:55.243415,Muffin,3,14.51,Tarjeta de Crédito
2023-06-23 02:45:44.005918,Té Verde,2,13.79,Tarjeta de Crédito
2023-12-03 00:14:32.450610,Mocaccino,4,7.31,Pago Móvil
2023-05-20 22:44:37.102738,Capuchino,1,4.01,Efectivo
2023-06-28 03:34:29.463578,Mocaccino,2,6.14,Efectivo
2023-01-22 03:33:59.830365,Jugo de Naranja,4,4.23,Efectivo
2023-04-22 10:13:45.110671,Croissant,4,14.06,Tarjeta de Crédito
2023-07-13 04:49:01.552620,Brownie,1,5.71,Pago Móvil
2023-09-03 01:45:37.755618,Té Verde,4,11.67,Tarjeta de Débito
2023-06-21 17:04:29.115415,Galleta,3,5.75,Pago Móvil
2023-03-26 12:55:32.882278,Jugo de Naranja,2,10.47,Tarjeta de Crédito
2023-07-10 23:02:30.397883,Jugo de Naranja,2,2.85,Tarjeta de Débito
2023-02-26 16:13:07.693070,Capuchino,2,10.16,Efectivo
2023-01-29 19:48:42.743808,Espresso,3,13.97,Tarjeta de Débito
2023-08-14 16:46:01.272181,Mocaccino,1,13.16,Tarjeta de Crédito
2023-03-08 09:50:59.611665,Sandwich de Jamón y Queso,2,5.77,Tarjeta de Débito
2023-12-03 19:57:36.323880,Chocolate Caliente,1,7.44,Pago Móvil
2023-05-01 05:41:33.870408,Sandwich de Jamón y Queso,4,14.66,Efectivo
2023-04-04 02:26:43.771729,Brownie,4,12.5,Efectivo
2023-02-19 09:27:09.483439,Café Latte,3,13.19,Pago Móvil
2023-11-13 05:34:44.477445,Té Negro,1,7.25,Efectivo
2023-05-23 03:48:34.616459,Jugo de Naranja,4,7.59,Efectivo
2023-09-25 23:32:12.502450,Galleta,1,13.03,Tarjeta de Crédito
2023-07-21 01:33:11.875065,Mocaccino,2,10.39,Tarjeta de Crédito
2023-05-07 12:56:47.387359,Espresso,1,4.09,Efectivo
2023-03-07 12:59:53.149570,Sandwich de Jamón y Queso,1,2.98,Efectivo
2023-08-31 13:48:51.921864,Espresso,3,10.74,Efectivo
2023-11-28 08:59:40.949930,Espresso,2,12.93,Tarjeta de Crédito
2023-03-13 21:32:52.574635,Té Negro,1,7.81,Tarjeta de Crédito
2023-02-22 09:44:55.915297,Brownie,1,11.76,Tarjeta de Crédito
2023-04-24 18:47:21.237101,Espresso,2,5.83,Tarjeta de Crédito
2023-04-22 10:00:55.716372,Sandwich de Jamón y Queso,2,6.13,Efectivo
2023-11-02 11:27:24.590838,Espresso,3,10.27,Pago Móvil
2023-10-18 09:20:25.169141,Sandwich de Jamón y Queso,2,8.3,Tarjeta de Crédito
2023-10-27 13:47:07.725088,Brownie,2,9.77,Tarjeta de Crédito
2023-05-01 17:33:09.516496,Té Verde,1,11.94,Pago Móvil
2023-03-27 23:08:38.127267,Galleta,2,9.42,Tarjeta de Crédito
2023-10-07 19:14:08.089311,Té Verde,4,4.25,Pago Móvil
2023-01-06 19:05:05.542817,Té Negro,3,6.57,Pago Móvil
2023-03-07 06:46:34.875400,Espresso,3,14.24,Efectivo
2023-04-20 14:02:13.683221,Té Negro,1,11.74,Tarjeta de Crédito
2023-06-04 11:41:24.615859,Brownie,3,7.68,Efectivo
2023-03-12 13:07:53.384190,Espresso,4,5.21,Tarjeta de Crédito
2023-06-04 08:38:32.162639,Té Negro,1,13.24,Pago Móvil
2023-01-29 20:05:28.725490,Galleta,1,11.72,Efectivo
2023-01-15 06:00:08.838085,Croissant,1,5.71,Efectivo
2023-03-16 04:20:51.936676,Brownie,4,13.02,Tarjeta de Crédito
2023-08-28 03:48:24.029306,Muffin,2,3.34,Efectivo
2023-01-18 19:08:01.080908,Croissant,1,13.91,Efectivo
2023-11-30 22:46:59.727497,Café Latte,1,12.56,Tarjeta de Débito
2023-04-18 21:46:16.159663,Espresso,2,3.1,Efectivo
2023-01-05 13:57:16.981575,Muffin,2,8.39,Efectivo
2023-03-04 17:51:58.149666,Capuchino,1,12.99,Pago Móvil
2023-04-15 05:34:05.205868,Muffin,1,13.08,Efectivo
2023-07-06 19:24:24.484380,Croissant,3,5.78,Tarjeta de Crédito
2023-01-10 23:05:51.294658,Jugo de Naranja,3,3.91,Tarjeta de Débito
2023-10-24 22:01:03.821120,Capuchino,2,6.51,Pago Móvil
2023-05-30 08:32:08.923218,Capuchino,3,9.29,Efectivo
2023-11-27 08:25:13.465221,Espresso,1,4.54,Tarjeta de Débito
2023-01-04 03:29:38.388511,Mocaccino,1,4.56,Pago Móvil
2023-11-19 22:42:28.745513,Croissant,3,8.53,Tarjeta de Crédito
2023-07-09 05:27:17.707381,Croissant,4,6.23,Tarjeta de Crédito
2023-12-27 08:40:04.913496,Sandwich de Jamón y Queso,2,13.49,Efectivo
2023-12-22 13:08:08.452212,Brownie,2,6.36,Pago Móvil
2023-02-23 11:19:25.693742,Té Negro,1,14.14,Efectivo
2023-03-02 06:21:17.431493,Café Latte,2,12.54,Tarjeta de Débito
2023-04-11 22:06:17.815000,Té Negro,4,6.94,Efectivo
2023-04-11 09:09:51.578910,Sandwich de Jamón y Queso,1,5.03,Pago Móvil
2023-05-24 17:49:13.731566,Café Latte,3,11.75,Efectivo
2023-05-02 23:39:51.366850,Chocolate Caliente,2,10.43,Pago Móvil
2023-09-12 13:54:52.884415,Chocolate Caliente,4,8.6,Tarjeta de Crédito
2023-01-07 23:46:38.921499,Chocolate Caliente,2,12.92,Tarjeta de Crédito
2023-06-29 09:04:44.022066,Muffin,3,11.44,Tarjeta de Crédito
2023-10-29 16:13:25.476718,Sandwich de Jamón y Queso,1,3.31,Pago Móvil
2023-09-18 07:48:53.179031,Brownie,2,9.52,Tarjeta de Débito
2023-08-29 15:54:15.127582,Jugo de Naranja,2,6.5,Tarjeta de Débito
2023-03-24 20:54:45.188431,Café Latte,4,10.38,Pago Móvil
2023-10-10 06:33:09.822397,Café Americano,2,8.17,Pago Móvil
2023-01-06 14:38:02.673331,Café Americano,4,9.14,Tarjeta de Crédito
2023-07-20 17:42:54.940460,Capuchino,3,11.94,Pago Móvil
2023-07-10 20:31:32.194892,Galleta,4,8.12,Pago Móvil
2023-12-20 05:13:28.598533,Croissant,3,11.02,Efectivo
2023-01-30 06:05:42.613654,Croissant,1,4.33,Pago Móvil
2023-11-14 04:14:33.209716,Espresso,1,7.72,Tarjeta de Débito
2023-11-20 16:20:40.875355,Mocaccino,1,6.92,Pago Móvil
2023-06-26 15:50:53.042152,Café Latte,2,4.31,Pago Móvil
2023-05-23 10:49:05.592690,Té Verde,2,10.2,Pago Móvil
2023-11-04 14:45:58.379320,Jugo de Naranja,4,4.59,Pago Móvil
2023-12-13 19:50:24.991637,Jugo de Naranja,2,12.69,Tarjeta de Crédito
2023-03-01 06:57:02.310888,Sandwich de Jamón y Queso,2,5.1,Tarjeta de Débito
2023-10-18 12:53:09.742342,Brownie,2,11.24,Tarjeta de Débito
2023-10-20 16:37:00.855031,Galleta,4,6.23,Tarjeta de Crédito
2023-12-09 16:09:11.537378,Espresso,4,2.57,Tarjeta de Crédito
2023-11-12 06:43:04.215073,Capuchino,2,9.25,Efectivo
2023-01-27 07:25:58.011784,Galleta,3,14.28,Efectivo
2023-12-13 04:46:36.801762,Chocolate Caliente,3,12.21,Pago Móvil
2023-06-10 06:02:40.141335,Jugo de Naranja,1,6.78,Efectivo
2023-05-23 06:44:06.054539,Chocolate Caliente,2,12.38,Tarjeta de Crédito
2023-08-20 00:58:19.646500,Espresso,2,8.56,Pago Móvil
2023-02-25 12:57:22.817343,Mocaccino,4,9.97,Pago Móvil
2023-08-18 07:19:58.920035,Sandwich de Jamón y Queso,4,6.62,Tarjeta de Débito
2023-09-12 23:49:56.592704,Té Negro,2,8.91,Tarjeta de Débito
2023-01-13 01:28:58.915762,Mocaccino,4,7.12,Pago Móvil
2023-08-24 01:43:48.967278,Jugo de Naranja,4,14.47,Efectivo
2023-02-17 01:07:34.737237,Espresso,4,12.38,Pago Móvil
2023-11-21 04:45:51.378938,Café Latte,3,14.03,Tarjeta de Crédito
2023-04-20 01:44:12.014257,Capuchino,3,13.32,Tarjeta de Crédito
2023-12-04 23:39:49.334305,Capuchino,4,8.84,Tarjeta de Débito
2023-01-28 09:07:17.873026,Brownie,2,9.05,Tarjeta de Crédito
2023-03-17 04:47:44.851336,Jugo de Naranja,1,6.89,Pago Móvil
2023-11-19 08:56:02.020011,Café Americano,4,3.79,Pago Móvil
2023-11-03 05:32:08.250151,Mocaccino,2,14.57,Pago Móvil
2023-12-08 07:05:34.623476,Galleta,4,5.06,Pago Móvil
2023-11-13 12:14:51.280683,Espresso,3,3.46,Tarjeta de Crédito
2023-04-12 22:27:47.528919,Té Negro,4,3.74,Pago Móvil
2023-08-09 19:27:34.760630,Café Americano,1,9.23,Tarjeta de Débito
2023-08-17 12:48:24.490573,Brownie,2,6.96,Pago Móvil
2023-04-05 18:21:55.543231,Croissant,3,9.03,Efectivo
2023-08-14 05:46:41.533600,Chocolate Caliente,2,13.77,Tarjeta de Crédito
2023-02-09 01:19:51.714099,Mocaccino,2,8.62,Efectivo
2023-12-22 04:26:33.043847,Brownie,4,14.25,Pago Móvil
2023-03-19 08:16:38.940852,Croissant,2,9.04,Efectivo
2023-09-06 07:55:35.340467,Capuchino,1,10.83,Efectivo
2023-06-13 19:20:56.229916,Café Americano,2,10.99,Tarjeta de Débito
2023-08-27 15:08:39.344361,Sandwich de Jamón y Queso,3,4.06,Tarjeta de Débito
2023-10-27 01:58:52.434350,Té Negro,1,5.02,Pago Móvil
2023-05-26 15:42:12.425029,Muffin,1,6.63,Efectivo
2023-02-18 14:55:48.571284,Mocaccino,2,6.78,Tarjeta de Débito
2023-10-16 21:06:14.083592,Chocolate Caliente,4,8.8,Tarjeta de Débito
2023-09-12 01:34:35.293030,Jugo de Naranja,2,3.94,Pago Móvil
2023-05-10 23:15:11.270459,Café Latte,1,4.68,Efectivo
2023-05-15 06:54:27.357349,Jugo de Naranja,2,7.55,Pago Móvil
2023-03-01 08:09:27.725857,Mocaccino,1,9.56,Tarjeta de Débito
2023-03-29 11:22:43.199697,Té Verde,2,3.16,Tarjeta de Crédito
2023-07-25 08:09:18.280724,Croissant,4,9.39,Tarjeta de Crédito
2023-04-26 15:20:00.197857,Té Verde,4,11.95,Tarjeta de Crédito
2023-07-06 23:33:53.041061,Brownie,3,13.17,Tarjeta de Crédito
2023-10-08 04:45:03.986137,Muffin,4,3.91,Pago Móvil
2023-03-23 11:20:31.771405,Sandwich de Jamón y Queso,1,4.02,Tarjeta de Crédito
2023-09-20 05:01:03.806529,Brownie,3,9.74,Pago Móvil
2023-01-02 19:09:56.698952,Brownie,1,7.6,Tarjeta de Crédito
2023-02-15 15:26:40.809019,Té Negro,4,14.47,Tarjeta de Débito
2023-02-02 10:53:29.134433,Brownie,1,2.94,Efectivo
2023-07-18 12:00:23.867768,Espresso,1,8.44,Tarjeta de Débito
2023-07-28 11:35:52.901214,Café Latte,1,5.66,Efectivo
2023-09-28 03:02:32.210768,Café Latte,2,11.77,Tarjeta de Crédito
2023-03-26 19:28:57.685375,Mocaccino,2,8.67,Pago Móvil
2023-10-25 08:41:09.933029,Brownie,3,5.98,Tarjeta de Débito
2023-05-26 20:42:41.053548,Sandwich de Jamón y Queso,2,8.53,Pago Móvil
2023-09-04 08:39:18.957876,Espresso,4,14.87,Pago Móvil
2023-11-28 08:19:04.378247,Té Verde,1,11.05,Tarjeta de Débito
2023-04-08 18:19:01.224415,Galleta,4,3.72,Tarjeta de Crédito
2023-07-15 22:37:39.952843,Espresso,3,10.6,Efectivo
2023-02-02 22:08:24.125149,Espresso,1,11.16,Tarjeta de Crédito
2023-02-22 12:13:40.290882,Té Negro,1,2.76,Tarjeta de Crédito
2023-06-13 16:09:32.706177,Sandwich de Jamón y Queso,4,4.07,Pago Móvil
2023-02-26 07:34:45.806087,Capuchino,1,2.87,Tarjeta de Crédito
2023-06-02 09:16:20.585517,Croissant,3,10.74,Efectivo
2023-04-23 07:36:35.220226,Muffin,2,7.21,Pago Móvil
2023-05-24 15:31:27.425537,Café Americano,1,12.13,Tarjeta de Crédito
2023-05-07 12:51:04.427645,Muffin,3,9.82,Tarjeta de Crédito
2023-10-03 14:30:53.965505,Chocolate Caliente,1,5.0,Tarjeta de Débito
2023-08-16 21:33:15.993486,Galleta,4,8.81,Tarjeta de Crédito
2023-04-27 20:35:47.263117,Muffin,4,9.51,Pago Móvil
2023-03-20 12:16:10.388881,Té Negro,1,10.1,Efectivo
2023-12-07 05:23:03.474077,Capuchino,4,12.67,Tarjeta de Débito
2023-11-02 03:09:42.454483,Sandwich de Jamón y Queso,4,4.37,Pago Móvil
2023-12-07 19:52:28.757777,Café Americano,2,6.42,Pago Móvil
2023-06-17 01:40:24.914590,Mocaccino,3,14.85,Efectivo
2023-02-03 01:53:16.417278,Café Latte,3,14.55,Tarjeta de Débito
2023-10-17 05:44:42.972617,Té Verde,2,2.72,Efectivo
2023-12-21 19:49:18.637147,Espresso,3,9.48,Tarjeta de Crédito
2023-02-23 00:55:00.395142,Jugo de Naranja,3,5.4,Efectivo
2023-04-19 14:08:14.445929,Croissant,1,5.78,Efectivo
2023-04-05 18:36:58.049162,Capuchino,4,14.96,Pago Móvil
2023-11-09 16:31:58.977265,Galleta,2,11.02,Pago Móvil
2023-06-26 05:06:17.599494,Muffin,4,12.68,Tarjeta de Crédito
2023-07-02 14:52:58.205853,Croissant,4,12.04,Efectivo
2023-12-14 15:54:32.163036,Galleta,4,4.08,Pago Móvil
2023-07-06 14:51:08.676710,Mocaccino,4,2.91,Tarjeta de Crédito
2023-03-08 10:27:32.205526,Muffin,1,9.94,Pago Móvil
2023-07-29 05:00:58.891885,Mocaccino,1,11.57,Tarjeta de Crédito
2023-04-24 14:50:13.733991,Té Verde,3,11.13,Tarjeta de Crédito
2023-04-23 16:23:05.191288,Café Latte,4,5.55,Efectivo
2023-07-27 03:37:52.206942,Té Verde,3,8.19,Pago Móvil
2023-05-06 07:43:25.244689,Mocaccino,3,13.33,Efectivo
2023-10-25 00:43:58.776625,Muffin,1,13.53,Pago Móvil
2023-04-02 08:50:23.639583,Café Latte,1,11.23,Tarjeta de Crédito
2023-09-21 01:20:29.078559,Café Latte,1,4.24,Pago Móvil
2023-06-10 19:57:06.659721,Jugo de Naranja,1,4.61,Tarjeta de Crédito
2023-09-05 22:32:48.005869,Mocaccino,3,10.2,Tarjeta de Crédito
2023-06-07 23:40:43.453247,Muffin,2,11.92,Efectivo
2023-06-25 02:36:15.740126,Mocaccino,4,10.79,Pago Móvil
2023-06-22 23:05:22.096117,Brownie,1,6.28,Tarjeta de Débito
2023-08-09 08:32:59.372372,Chocolate Caliente,3,14.68,Pago Móvil
2023-10-26 04:07:12.548245,Croissant,2,5.67,Tarjeta de Débito
2023-11-12 11:36:44.948911,Té Verde,4,13.26,Tarjeta de Crédito
2023-03-31 01:26:29.357845,Brownie,2,5.43,Pago Móvil
2023-06-02 23:02:59.179320,Croissant,4,5.35,Pago Móvil
2023-11-29 17:13:23.270234,Mocaccino,1,12.25,Tarjeta de Crédito
2023-03-09 07:41:52.779702,Chocolate Caliente,4,12.66,Tarjeta de Débito
2023-10-26 12:31:14.897434,Café Latte,2,2.58,Efectivo
2023-03-12 01:54:12.757697,Sandwich de Jamón y Queso,2,6.67,Pago Móvil
2023-07-17 11:31:35.936054,Té Verde,2,13.02,Efectivo
2023-11-13 15:07:32.869267,Brownie,1,5.21,Efectivo
2023-04-20 09:58:31.762168,Mocaccino,2,11.6,Tarjeta de Crédito
2023-05-26 08:39:02.316817,Galleta,3,4.58,Efectivo
2023-08-31 05:37:09.748403,Sandwich de Jamón y Queso,2,9.25,Tarjeta de Crédito
2023-06-27 22:16:44.071504,Brownie,1,11.25,Tarjeta de Débito
2023-12-23 22:32:09.173919,Jugo de Naranja,1,7.03,Tarjeta de Crédito
2023-12-02 23:20:59.587066,Croissant,4,12.01,Tarjeta de Crédito
2023-11-27 05:58:49.585495,Capuchino,1,10.36,Pago Móvil
2023-04-22 17:09:43.594394,Chocolate Caliente,1,6.54,Efectivo
2023-04-29 09:27:09.285260,Croissant,3,13.76,Efectivo
2023-08-12 04:44:07.458472,Brownie,1,12.34,Pago Móvil
2023-04-22 12:32:25.868145,Café Americano,1,10.94,Pago Móvil
2023-05-29 15:05:43.602490,Galleta,1,5.48,Tarjeta de Débito
2023-01-10 18:17:04.346469,Café Americano,3,14.68,Pago Móvil
2023-04-10 03:54:33.330328,Té Verde,3,2.83,Tarjeta de Crédito
2023-05-24 23:24:08.993677,Jugo de Naranja,1,6.94,Tarjeta de Débito
2023-02-26 02:16:30.769099,Espresso,2,5.07,Tarjeta de Crédito
2023-08-31 07:39:13.323976,Té Negro,1,5.13,Tarjeta de Crédito
2023-09-28 01:30:39.571288,Chocolate Caliente,2,10.62,Efectivo
2023-04-18 07:10:27.651575,Té Negro,4,10.24,Tarjeta de Crédito
2023-11-01 03:00:46.965034,Espresso,2,7.59,Tarjeta de Crédito
2023-04-29 21:31:53.154939,Croissant,2,7.94,Pago Móvil
2023-11-07 03:54:45.378550,Té Verde,2,5.14,Tarjeta de Débito
2023-02-09 08:09:56.940973,Espresso,1,6.76,Tarjeta de Débito
2023-07-18 05:45:21.875151,Galleta,4,13.09,Tarjeta de Débito
2023-01-25 12:09:40.428858,Muffin,3,7.23,Tarjeta de Crédito
2023-12-03 05:36:27.213108,Jugo de Naranja,2,12.33,Tarjeta de Débito
2023-04-20 11:17:59.513825,Mocaccino,1,9.2,Tarjeta de Débito
2023-05-25 05:43:57.244478,Capuchino,4,5.1,Tarjeta de Débito
2023-11-04 12:58:30.856270,Croissant,4,14.62,Efectivo
2023-02-25 10:27:52.268037,Jugo de Naranja,1,12.85,Tarjeta de Débito
2023-08-17 01:30:48.656363,Jugo de Naranja,1,3.59,Efectivo
2023-12-08 08:58:16.016831,Jugo de Naranja,2,4.79,Tarjeta de Crédito
2023-12-08 21:24:07.999316,Muffin,3,13.13,Tarjeta de Débito
2023-08-09 11:14:18.494595,Mocaccino,4,6.51,Pago Móvil
2023-11-09 00:44:58.550778,Capuchino,3,13.67,Tarjeta de Crédito
2023-05-28 05:23:04.472809,Espresso,4,8.85,Pago Móvil
2023-11-05 19:46:45.068987,Mocaccino,3,8.87,Tarjeta de Débito
2023-08-21 02:05:44.139164,Chocolate Caliente,1,9.42,Tarjeta de Crédito
2023-02-15 00:03:49.237363,Espresso,2,7.87,Tarjeta de Débito
2023-09-18 12:01:54.566566,Chocolate Caliente,2,6.01,Efectivo
2023-06-23 20:00:07.879317,Té Negro,1,12.87,Tarjeta de Crédito
2023-07-16 03:41:56.204355,Chocolate Caliente,2,5.39,Tarjeta de Débito
2023-04-06 12:18:23.098024,Té Negro,3,5.04,Pago Móvil
2023-06-11 07:43:33.695872,Capuchino,1,7.1,Tarjeta de Crédito
2023-01-15 20:46:37.593695,Té Negro,1,11.34,Pago Móvil
2023-07-21 05:42:26.594046,Café Americano,3,8.37,Efectivo
2023-01-27 04:59:50.180919,Espresso,4,2.92,Tarjeta de Débito
2023-10-12 04:07:25.598446,Té Verde,4,12.69,Tarjeta de Débito
2023-02-04 23:43:09.203632,Té Verde,3,9.76,Pago Móvil
2023-09-23 18:08:23.648386,Sandwich de Jamón y Queso,3,11.15,Pago Móvil
2023-01-06 13:33:47.019925,Jugo de Naranja,1,2.99,Pago Móvil
2023-07-12 19:27:58.561646,Espresso,2,11.13,Pago Móvil
2023-06-25 22:01:25.672312,Chocolate Caliente,1,8.37,Pago Móvil
2023-07-01 00:51:55.861413,Brownie,2,3.99,Tarjeta de Débito
2023-08-27 07:09:16.334762,Capuchino,3,9.31,Tarjeta de Débito
2023-08-05 00:12:03.839608,Café Americano,1,10.84,Pago Móvil
2023-07-19 05:40:45.235365,Brownie,2,4.7,Tarjeta de Débito
2023-09-08 21:23:12.189831,Chocolate Caliente,1,8.97,Tarjeta de Débito
2023-11-16 16:09:00.071101,Café Latte,1,5.87,Tarjeta de Débito
2023-04-25 07:58:12.076107,Café Americano,1,14.07,Pago Móvil
2023-12-20 23:45:29.210238,Croissant,3,10.26,Pago Móvil
2023-01-30 15:07:04.470282,Muffin,2,5.8,Efectivo
2023-09-27 22:36:26.337783,Café Americano,4,10.86,Tarjeta de Crédito
2023-08-30 05:16:12.442030,Jugo de Naranja,3,10.99,Tarjeta de Crédito
2023-04-19 22:11:15.714859,Muffin,2,7.69,Tarjeta de Crédito
2023-08-14 06:45:12.639070,Brownie,3,8.74,Tarjeta de Crédito
2023-12-17 15:32:21.021968,Té Verde,2,11.3,Tarjeta de Crédito
2023-03-09 15:13:00.059829,Sandwich de Jamón y Queso,3,11.43,Efectivo
2023-12-24 07:11:30.987359,Café Americano,3,6.44,Efectivo
2023-08-26 16:10:57.792708,Té Negro,2,8.09,Efectivo
2023-09-22 17:15:28.213799,Jugo de Naranja,4,9.37,Tarjeta de Crédito
2023-03-01 19:40:36.847016,Galleta,3,6.72,Tarjeta de Crédito
2023-07-03 06:53:13.874093,Croissant,2,3.97,Tarjeta de Débito
2023-10-12 19:58:25.209090,Galleta,4,10.85,Efectivo
2023-12-15 12:48:12.150366,Café Americano,4,14.75,Efectivo
2023-01-16 08:43:29.166464,Capuchino,3,4.56,Pago Móvil
2023-09-02 09:52:44.687268,Café Americano,2,8.88,Tarjeta de Débito
2024-01-01 04:52:27.799420,Café Latte,4,10.45,Pago Móvil
2023-10-23 15:57:37.660239,Café Latte,4,6.37,Tarjeta de Débito
2023-04-25 11:47:20.554927,Capuchino,3,6.14,Tarjeta de Débito
2023-04-21 18:36:14.319046,Mocaccino,2,13.06,Tarjeta de Crédito
2023-10-19 06:07:28.660892,Café Americano,3,7.31,Pago Móvil
2023-11-11 02:41:33.491598,Café Americano,1,12.03,Tarjeta de Débito
2023-12-05 04:10:10.540846,Café Americano,3,10.38,Tarjeta de Crédito
2023-01-19 12:23:44.428178,Croissant,3,3.3,Pago Móvil
2023-08-03 22:24:22.279805,Muffin,3,5.46,Efectivo
2023-09-09 12:07:04.442654,Capuchino,1,13.65,Pago Móvil
2023-12-09 16:37:45.928116,Té Verde,3,10.79,Efectivo
2023-11-23 21:20:03.591825,Té Verde,3,9.6,Tarjeta de Crédito
2023-12-05 15:54:20.606081,Mocaccino,4,14.17,Efectivo
2023-11-13 09:00:44.946415,Muffin,1,14.36,Tarjeta de Crédito
2023-10-28 22:47:50.342486,Chocolate Caliente,1,4.07,Pago Móvil
2023-06-30 03:31:32.931577,Café Latte,1,14.26,Efectivo
